"SAN.Open" "SAN.High" "SAN.Low" "SAN.Close" "SAN.Volume" "SAN.Adjusted"
"2015-01-02" 8.47000026702881 8.5 8.38000011444092 8.42000007629395 6611000 5.95037698745728
"2015-01-05" 8.13000011444092 8.14000034332275 7.92000007629395 7.92999982833862 21728700 5.60409593582153
"2015-01-06" 7.92999982833862 8 7.71999979019165 7.78000020980835 10151900 5.49809169769287
"2015-01-07" 7.86999988555908 7.92999982833862 7.75 7.90000009536743 8434100 5.58289575576782
"2015-01-08" 7.65999984741211 7.92000007629395 7.34000015258789 7.34999990463257 68825400 5.19421195983887
"2015-01-09" 7.17000007629395 7.17000007629395 6.65000009536743 6.88000011444092 59412200 4.98412609100342
"2015-01-12" 6.90999984741211 6.96999979019165 6.78999996185303 6.90999984741211 20108700 5.00585985183716
"2015-01-13" 7.01000022888184 7.07000017166138 6.90000009536743 6.98000001907349 19834200 5.05657005310059
"2015-01-14" 6.96999979019165 7.01000022888184 6.90999984741211 6.96000003814697 18310800 5.04208183288574
"2015-01-15" 6.96000003814697 6.98000001907349 6.8899998664856 6.96000003814697 15348400 5.04208183288574
"2015-01-16" 6.90999984741211 6.98000001907349 6.8600001335144 6.94999980926514 10645200 5.034836769104
"2015-01-20" 7.05999994277954 7.07000017166138 6.98999977111816 7.05999994277954 13829600 5.11452531814575
"2015-01-21" 6.90000009536743 7.05000019073486 6.8899998664856 7.03999996185303 17932700 5.10003614425659
"2015-01-22" 7.01000022888184 7.07000017166138 6.96999979019165 7.05000019073486 12361400 5.10728073120117
"2015-01-23" 6.94999980926514 7.03000020980835 6.8899998664856 6.94000005722046 9146400 5.02759218215942
"2015-01-26" 7 7.05999994277954 7 7.03000020980835 9706400 5.09279155731201
"2015-01-27" 7 7.01000022888184 6.92999982833862 7 8257400 5.07105827331543
"2015-01-28" 6.80000019073486 6.80999994277954 6.61999988555908 6.61999988555908 14071900 4.79577255249023
"2015-01-29" 6.76000022888184 6.8600001335144 6.71999979019165 6.8600001335144 11632900 4.96963739395142
"2015-01-30" 6.76000022888184 6.78999996185303 6.65999984741211 6.69000005722046 7572000 4.84648323059082
"2015-02-02" 6.63000011444092 6.76999998092651 6.6100001335144 6.76000022888184 10204500 4.89719343185425
"2015-02-03" 7.03999996185303 7.15000009536743 7.03000020980835 7.1399998664856 11737100 5.1724796295166
"2015-02-04" 7 7.09000015258789 6.94000005722046 6.96000003814697 10771800 5.04208183288574
"2015-02-05" 6.92000007629395 7.01999998092651 6.8899998664856 7.01999998092651 7079200 5.08554744720459
"2015-02-06" 6.94000005722046 6.98999977111816 6.88000011444092 6.90000009536743 8900000 4.99861526489258
"2015-02-09" 6.73999977111816 6.84000015258789 6.73999977111816 6.80000019073486 8166500 4.92617177963257
"2015-02-10" 6.92999982833862 6.94000005722046 6.82999992370605 6.8899998664856 5883500 4.99137115478516
"2015-02-11" 6.80999994277954 6.82000017166138 6.73000001907349 6.78000020980835 7026200 4.91168165206909
"2015-02-12" 6.96000003814697 7.05000019073486 6.94000005722046 7.05000019073486 7117100 5.10728073120117
