ds,y
2000-09-01,2090487
2000-10-01,1824877
2000-11-01,1499663
2000-12-01,1388092
2001-01-01,1316310
2001-02-01,1393503
2001-03-01,1705159
2001-04-01,1917041
2001-05-01,2024965
2001-06-01,2143216
2001-07-01,2267789
2001-08-01,2309865
2001-09-01,2174611
2001-10-01,1862665
2001-11-01,1449478
2001-12-01,1316649
2002-01-01,1291451
2002-02-01,1417154
2002-03-01,1744589
2002-04-01,1867369
2002-05-01,1999632
2002-06-01,2087756
2002-07-01,2316601
2002-08-01,2378995
2002-09-01,2230926
2002-10-01,2039607
2002-11-01,1596487
2002-12-01,1486117
2003-01-01,1450955
2003-02-01,1554642
2003-03-01,1788582
2003-04-01,1968593
2003-05-01,2164104
2003-06-01,2355675
2003-07-01,2550101
2003-08-01,2687250
2003-09-01,2428975
2003-10-01,2314215
2003-11-01,1804081
2003-12-01,1739899
2004-01-01,1591239
2004-02-01,1874088
2004-03-01,2177458
2004-04-01,2307929
2004-05-01,2528581
2004-06-01,2673749
2004-07-01,2903712
2004-08-01,3036768
2004-09-01,2733122
2004-10-01,2572683
2004-11-01,2087034
2004-12-01,1940630
2005-01-01,1838440
2005-02-01,2017717
2005-03-01,2452713
2005-04-01,2528838
2005-05-01,2926602
2005-06-01,2953866
2005-07-01,3285832
2005-08-01,3393597
2005-09-01,3033392
2005-10-01,2858539
2005-11-01,2337227
2005-12-01,1952391
2006-01-01,2068430
2006-02-01,2194056
2006-03-01,2649068
2006-04-01,2944379
2006-05-01,3188082
2006-06-01,3299373
2006-07-01,3450309
2006-08-01,3584685
2006-09-01,3312369
2006-10-01,3218502
2006-11-01,2530068
2006-12-01,2419398
2007-01-01,2261189
2007-02-01,2424365
2007-03-01,2937922
2007-04-01,3190241
2007-05-01,3464954
2007-06-01,3656188
2007-07-01,4043230
2007-08-01,4157951
2007-09-01,3760988
2007-10-01,3503087
2007-11-01,2834748
2007-12-01,2592108
2008-01-01,2423288
2008-02-01,2642964
2008-03-01,3097422
2008-04-01,3106900
2008-05-01,3420446
2008-06-01,3521381
2008-07-01,3838047
2008-08-01,3920364
2008-09-01,3377830
2008-10-01,3030141
2008-11-01,2315632
2008-12-01,2229104
2009-01-01,1957235
2009-02-01,2122080
2009-03-01,2513211
2009-04-01,2963017
2009-05-01,3061856
2009-06-01,3252871
2009-07-01,3683558
2009-08-01,3775132
2009-09-01,3282051
2009-10-01,2991441
2009-11-01,2364988
2009-12-01,2280700
2010-01-01,1981891
2010-02-01,2146722
2010-03-01,2691431
2010-04-01,2683357
2010-05-01,3149462
2010-06-01,3339929
2010-07-01,3797878
2010-08-01,3892873
